Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Mutual Inductance Segment L (H),Mutual Inductance Segment L+C (H),Final Mutual Inductance (H)
0.06,0.06,77,0.06,0.06,77,0.05,0.15,3.0,5.55,17.0,31.45,85.0,157.25,6.44064845076095e-13,6.44064845076095e-13,1.28812969015219e-12
0.06,0.06,52,0.06,0.06,52,0.1,0.15,3.0,5.55,17.0,31.45,85.0,157.25,4.112696653571686e-12,4.112696653571686e-12,8.225393307143372e-12
0.06,0.06,40,0.06,0.06,40,0.15000000000000002,0.15,3.0,5.55,17.0,31.45,85.0,157.25,1.3545189457232676e-11,1.3545189457232676e-11,2.7090378914465353e-11
0.06,0.06,32,0.06,0.06,32,0.2,0.15,3.0,5.55,17.0,31.45,85.0,157.25,3.597685339385075e-11,3.597685339385075e-11,7.19537067877015e-11
0.06,0.06,27,0.06,0.06,27,0.25,0.15,3.0,5.55,17.0,31.45,85.0,157.25,7.275279996059709e-11,7.275279996059709e-11,1.4550559992119418e-10
0.06,0.06,23,0.06,0.06,23,0.3,0.15,3.0,5.55,17.0,31.45,85.0,157.25,1.3734807333486408e-10,1.3734807333486408e-10,2.7469614666972816e-10
0.06,0.06,20,0.06,0.06,20,0.35000000000000003,0.15,3.0,5.55,17.0,31.45,85.0,157.25,2.311098698604817e-10,2.311098698604817e-10,4.622197397209635e-10
0.06,0.06,18,0.06,0.06,18,0.4,0.15,3.0,5.55,17.0,31.45,85.0,157.25,3.3054171869635926e-10,3.3054171869635926e-10,6.610834373927185e-10
0.06,0.06,16,0.06,0.06,16,0.45,0.15,3.0,5.55,17.0,31.45,85.0,157.25,4.863665533202842e-10,4.863665533202842e-10,9.727331066405687e-10
0.06,0.06,14,0.06,0.06,14,0.5,0.15,3.0,5.55,17.0,31.45,85.0,157.25,7.371261478777942e-10,7.371261478777942e-10,1.4742522957555889e-09
0.06,0.06,13,0.06,0.06,13,0.55,0.15,3.0,5.55,17.0,31.45,85.0,157.25,8.881452860652117e-10,8.881452860652117e-10,1.7762905721304234e-09
0.06,0.06,12,0.06,0.06,12,0.6000000000000001,0.15,3.0,5.55,17.0,31.45,85.0,157.25,1.0776158689405955e-09,1.0776158689405955e-09,2.155231737881191e-09
0.06,0.06,11,0.06,0.06,11,0.6500000000000001,0.15,3.0,5.55,17.0,31.45,85.0,157.25,1.315941093897772e-09,1.315941093897772e-09,2.631882187795544e-09
0.06,0.06,10,0.06,0.06,10,0.7000000000000001,0.15,3.0,5.55,17.0,31.45,85.0,157.25,1.6157174227294406e-09,1.6157174227294406e-09,3.231434845458881e-09
0.06,0.06,10,0.06,0.06,10,0.7500000000000001,0.15,3.0,5.55,17.0,31.45,85.0,157.25,1.5138857556073946e-09,1.5138857556073946e-09,3.0277715112147893e-09
