Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Number of Turns per Tx Segment,Mutual Inductance Segment L (H),Mutual Inductance Segment L+C (H),Final Mutual Inductance (H)
0.06,0.06,14,0.06,0.06,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.15E-09,1.15E-09,2.30E-09
0.06,0.06,7,0.06,0.06,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.31E-09,4.31E-09,8.62E-09
0.06,0.06,4,0.06,0.06,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.32E-08,1.32E-08,2.64E-08
0.06,0.06,3,0.06,0.06,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.80E-08,1.80E-08,3.61E-08
0.06,0.1,14,0.06,0.1,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.18E-09,1.18E-09,2.36E-09
0.06,0.1,7,0.06,0.1,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.52E-09,4.52E-09,9.05E-09
0.06,0.1,4,0.06,0.1,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.44E-08,1.44E-08,2.87E-08
0.06,0.1,3,0.06,0.1,3,2,0.15,3,5.55,17,31.45,85,157.25,20,2.04E-08,2.04E-08,4.08E-08
0.06,0.14,14,0.06,0.14,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.22E-09,1.22E-09,2.43E-09
0.06,0.14,7,0.06,0.14,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.78E-09,4.78E-09,9.55E-09
0.06,0.14,4,0.06,0.14,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.58E-08,1.58E-08,3.15E-08
0.06,0.14,3,0.06,0.14,3,2,0.15,3,5.55,17,31.45,85,157.25,20,2.16E-08,2.16E-08,4.32E-08
0.06,0.18,14,0.06,0.18,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.26E-09,1.26E-09,2.51E-09
0.06,0.18,7,0.06,0.18,7,1,0.15,3,5.55,17,31.45,85,157.25,39,5.08E-09,5.08E-09,1.02E-08
0.06,0.18,4,0.06,0.18,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.64E-08,1.64E-08,3.28E-08
0.06,0.18,3,0.06,0.18,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.86E-08,1.86E-08,3.73E-08
0.06,0.22,14,0.06,0.22,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.30E-09,1.30E-09,2.61E-09
0.06,0.22,7,0.06,0.22,7,1,0.15,3,5.55,17,31.45,85,157.25,39,5.43E-09,5.43E-09,1.09E-08
0.06,0.22,4,0.06,0.22,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.45E-08,1.45E-08,2.89E-08
0.06,0.22,3,0.06,0.22,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.71E-08,1.71E-08,3.42E-08
0.06,0.26,14,0.06,0.26,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.36E-09,1.36E-09,2.72E-09
0.06,0.26,7,0.06,0.26,7,1,0.15,3,5.55,17,31.45,85,157.25,39,5.08E-09,5.08E-09,1.02E-08
0.06,0.26,4,0.06,0.26,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.23E-08,1.23E-08,2.47E-08
0.06,0.26,3,0.06,0.26,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.49E-08,1.49E-08,2.99E-08
0.06,0.3,14,0.06,0.3,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.42E-09,1.42E-09,2.85E-09
0.06,0.3,7,0.06,0.3,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.64E-09,4.64E-09,9.29E-09
0.06,0.3,4,0.06,0.3,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.16E-08,1.16E-08,2.33E-08
0.06,0.3,3,0.06,0.3,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.51E-08,1.51E-08,3.02E-08
0.06,0.34,14,0.06,0.34,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.50E-09,1.50E-09,3.00E-09
0.06,0.34,7,0.06,0.34,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.12E-09,4.12E-09,8.23E-09
0.06,0.34,4,0.06,0.34,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.13E-08,1.13E-08,2.27E-08
0.06,0.34,3,0.06,0.34,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.55E-08,1.55E-08,3.11E-08
0.06,0.38,14,0.06,0.38,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.40E-09,1.40E-09,2.79E-09
0.06,0.38,7,0.06,0.38,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.71E-09,3.71E-09,7.41E-09
0.06,0.38,4,0.06,0.38,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.05E-08,1.05E-08,2.09E-08
0.06,0.38,3,0.06,0.38,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.54E-08,1.54E-08,3.08E-08
0.06,0.42,14,0.06,0.42,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.27E-09,1.27E-09,2.55E-09
0.06,0.42,7,0.06,0.42,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.58E-09,3.58E-09,7.15E-09
0.06,0.42,4,0.06,0.42,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.08E-08,1.08E-08,2.17E-08
0.06,0.42,3,0.06,0.42,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.34E-08,1.34E-08,2.68E-08
0.06,0.46,14,0.06,0.46,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.13E-09,1.13E-09,2.26E-09
0.06,0.46,7,0.06,0.46,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.31E-09,3.31E-09,6.62E-09
0.06,0.46,4,0.06,0.46,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.16E-08,1.16E-08,2.32E-08
0.06,0.46,3,0.06,0.46,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.25E-08,1.25E-08,2.50E-08
0.06,0.5,14,0.06,0.5,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.05E-09,1.05E-09,2.10E-09
0.06,0.5,7,0.06,0.5,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.10E-09,3.10E-09,6.19E-09
0.06,0.5,4,0.06,0.5,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.14E-08,1.14E-08,2.27E-08
0.06,0.5,3,0.06,0.5,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.13E-08,1.13E-08,2.27E-08
0.06,0.54,14,0.06,0.54,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,9.86E-10,9.86E-10,1.97E-09
0.06,0.54,7,0.06,0.54,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.12E-09,3.12E-09,6.25E-09
0.06,0.54,4,0.06,0.54,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.18E-08,1.18E-08,2.37E-08
0.06,0.54,3,0.06,0.54,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.08E-08,1.08E-08,2.15E-08
0.06,0.58,14,0.06,0.58,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,9.31E-10,9.31E-10,1.86E-09
0.06,0.58,7,0.06,0.58,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.00E-09,3.00E-09,6.00E-09
0.06,0.58,4,0.06,0.58,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.17E-08,1.17E-08,2.34E-08
