Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Mutual Inductance Segment L (H),Mutual Inductance Segment L+C (H),Final Mutual Inductance (H)
0.05999999865889549,0.05999999865889549,128,0.05999999865889549,0.05999999865889549,128,0.05000000074505806,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",8.614863379954874e-13,8.614863379954874e-13,1.7229726759909747e-12
0.05999999865889549,0.05999999865889549,88,0.05999999865889549,0.05999999865889549,88,0.10000000149011612,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",4.209537666360896e-12,4.209537666360896e-12,8.419075332721793e-12
0.05999999865889549,0.05999999865889549,67,0.05999999865889549,0.05999999865889549,67,0.15000000596046448,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",1.6295530896881516e-11,1.6295530896881516e-11,3.259106179376303e-11
0.05999999865889549,0.05999999865889549,54,0.05999999865889549,0.05999999865889549,54,0.20000000298023224,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",4.538783932028778e-11,4.538783932028778e-11,9.077567864057556e-11
0.05999999865889549,0.05999999865889549,45,0.05999999865889549,0.05999999865889549,45,0.25,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",1.0647695225518561e-10,1.0647695225518561e-10,2.1295390451037122e-10
0.05999999865889549,0.05999999865889549,38,0.05999999865889549,0.05999999865889549,38,0.30000001192092896,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",2.3238347357512623e-10,2.3238347357512623e-10,4.6476694715025246e-10
0.05999999865889549,0.05999999865889549,34,0.05999999865889549,0.05999999865889549,34,0.3499999940395355,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",3.805669113177146e-10,3.805669113177146e-10,7.611338226354292e-10
0.05999999865889549,0.05999999865889549,30,0.05999999865889549,0.05999999865889549,30,0.4000000059604645,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",6.625073822874583e-10,6.625073822874583e-10,1.3250147645749166e-09
0.05999999865889549,0.05999999865889549,27,0.05999999865889549,0.05999999865889549,27,0.44999998807907104,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",1.0441274511663323e-09,1.0441274511663323e-09,2.0882549023326646e-09
0.05999999865889549,0.05999999865889549,24,0.05999999865889549,0.05999999865889549,24,0.5,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",1.7288318554520288e-09,1.7288318554520288e-09,3.4576637109040576e-09
