Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Final Mutual Inductance (nH)
0.06741512,0.22532772,20.419767,0.067240976,0.22347744,20.403812,0.5392835,0.15025003,5.0007763,3.9919312,28.338837,22.617805,141.69559,113.09286,-32.983097
0.07211897,0.49718502,49.836407,0.07173706,0.49915892,49.725216,0.25725377,0.15034358,5.000947,3.9910283,28.338556,22.618645,141.69456,113.092316,-28.757845
0.11885696,0.36420918,38.489937,0.11865706,0.36487207,38.47765,0.3094336,0.15077658,5.001717,3.9911814,28.338938,22.618513,141.69489,113.09245,43.759907
0.12666108,0.3622942,44.48374,0.1263823,0.3648228,44.465164,0.3147787,0.14999919,5.0011234,3.9908378,28.338934,22.618315,141.69566,113.092865,111.0444
0.10198685,0.48094246,40.902912,0.10169614,0.48140514,40.87714,0.37210482,0.15026028,5.0009627,3.991351,28.338747,22.618727,141.69556,113.09262,94.32668
0.118330725,0.33754513,36.219765,0.118125476,0.3384379,36.088097,0.3515626,0.15038736,5.0015087,3.9914477,28.338736,22.618721,141.69496,113.09203,29.480988
0.10248832,0.72564864,47.595512,0.10223962,0.72777873,47.606796,0.27335078,0.14943479,5.0009365,3.9912736,28.339846,22.61879,141.69443,113.0928,95.45781
0.08332681,0.6566866,28.378296,0.08325714,0.65648144,28.208155,0.4606739,0.1506925,5.0005293,3.9915586,28.338026,22.618229,141.69417,113.09236,57.336308
0.1140656,0.39788675,37.36377,0.113723174,0.39827597,37.27518,0.31639835,0.14986077,5.0006347,3.9913108,28.339542,22.618603,141.69615,113.092445,-2.9766438
0.08670281,0.4805249,33.684326,0.086435005,0.48071656,33.505074,0.4696711,0.14965044,5.000831,3.9913483,28.33929,22.618923,141.69443,113.09279,95.23704
0.109083705,0.5668722,35.95627,0.10871079,0.5687319,35.961796,0.48084667,0.15025494,5.0010633,3.9907875,28.33969,22.618904,141.69508,113.09215,238.8513
0.112937875,0.43667352,39.067596,0.11271539,0.43904403,38.988922,0.3778575,0.14957969,5.0005994,3.9910405,28.339777,22.618141,141.69403,113.091995,96.446045
0.11454935,0.16683504,38.48552,0.11389724,0.16651602,38.402367,0.36491624,0.15086412,5.0016623,3.9915392,28.33854,22.618677,141.6957,113.09239,32.189056
0.0992956,0.29613516,16.5538,0.098951966,0.2966,16.594797,0.60145503,0.15013655,5.0014014,3.9915671,28.339273,22.618458,141.69495,113.09335,64.42557
0.13455215,0.47429845,46.312645,0.13431387,0.4760221,46.35551,0.22904308,0.15086302,5.0015264,3.990085,28.339113,22.619204,141.69519,113.0924,85.148415
0.098176055,0.3328803,43.881447,0.09814019,0.33430475,43.846474,0.31896657,0.14967541,5.000747,3.9921916,28.338682,22.618813,141.69493,113.09321,46.92591
0.10403575,-0.011389406,19.23595,0.10380431,-0.012212973,19.19359,0.59764916,0.14994079,5.000756,3.9921846,28.33838,22.618574,141.69516,113.09354,38.866093
0.11035755,0.44449463,42.93035,0.110139236,0.44469482,42.6715,0.36714655,0.15016302,5.001442,3.9919586,28.338444,22.618933,141.69427,113.09222,142.52899
0.079707064,0.47991613,18.363972,0.07968858,0.48103598,18.382402,0.77225316,0.14983936,4.999928,3.991938,28.339579,22.61898,141.69434,113.09234,309.6776
0.100777544,-0.08208297,13.89799,0.10055966,-0.081342295,13.64188,0.95731246,0.14946344,5.0008636,3.993336,28.338898,22.618858,141.69405,113.09209,468.59665
0.12757412,0.5656664,34.800766,0.12732269,0.5675601,34.688267,0.4234225,0.15073597,5.001117,3.9912496,28.338789,22.618029,141.6949,113.09093,193.79695
